date,region,wind_speed
2020-07-18,Süd,11.9
2020-07-19,Nord,21.3
2020-07-19,Süd,9.2
2020-07-20,Nord,20.2
2020-07-20,Süd,10.7
2020-07-21,Nord,18.4
2020-07-21,Süd,13.3
2020-07-22,Nord,14.1
2020-07-22,Süd,13.2
2020-07-23,Nord,13.6
2020-07-23,Süd,14.9
2020-07-24,Nord,23.1
2020-07-24,Süd,15.5
2020-07-25,Nord,17.3
2020-07-25,Süd,14.4
2020-07-26,Nord,19.8
2020-07-26,Süd,14.6
2020-07-27,Nord,20.9
2020-07-27,Süd,14.0
2020-07-28,Nord,25.2
2020-07-28,Süd,19.3
2020-07-29,Nord,28.9
2020-07-29,Süd,11.5
2020-07-30,Nord,17.0
2020-07-30,Süd,9.5
2020-07-31,Nord,15.0
2020-07-31,Süd,8.4
2020-08-01,Nord,18.0
2020-08-01,Süd,15.8
2020-08-02,Nord,16.0
2020-08-02,Süd,17.3
2020-08-03,Nord,12.8
2020-08-03,Süd,18.5
2020-08-04,Nord,15.9
2020-08-04,Süd,20.6
2020-08-05,Nord,21.7
2020-08-05,Süd,15.5
2020-08-06,Nord,15.2
2020-08-06,Süd,15.6
2020-08-07,Nord,16.3
2020-08-07,Süd,13.6
2020-08-08,Nord,17.7
2020-08-08,Süd,10.2
2020-08-09,Nord,14.9
2020-08-09,Süd,10.3
2020-08-10,Nord,14.0
2020-08-10,Süd,10.6
2020-08-11,Nord,18.8
2020-08-11,Süd,14.0
2020-08-12,Nord,20.3
2020-08-12,Süd,10.7
2020-08-13,Nord,21.7
2020-08-13,Süd,19.6
2020-08-14,Nord,11.6
2020-08-14,Süd,16.2
2020-08-15,Nord,16.6
2020-08-15,Süd,15.5
2020-08-16,Nord,15.3
2020-08-16,Süd,13.2
2020-08-17,Nord,16.4
2020-08-17,Süd,17.6
2020-08-18,Nord,14.4
2020-08-18,Süd,13.5
2020-08-19,Nord,10.8
2020-08-19,Süd,15.3
2020-08-20,Nord,14.8
2020-08-20,Süd,9.7
2020-08-21,Nord,17.1
2020-08-21,Süd,10.7
2020-08-22,Nord,24.1
2020-08-22,Süd,16.6
2020-08-23,Nord,27.3
2020-08-23,Süd,17.6
2020-08-24,Nord,20.0
2020-08-24,Süd,9.9
2020-08-25,Nord,23.2
2020-08-25,Süd,11.8
2020-08-26,Nord,38.5
2020-08-26,Süd,34.2
2020-08-27,Nord,30.2
2020-08-27,Süd,11.3
2020-08-28,Nord,16.9
2020-08-28,Süd,13.8
2020-08-29,Nord,17.3
2020-08-29,Süd,11.0
2020-08-30,Nord,10.4
2020-08-30,Süd,28.6
2020-08-31,Nord,12.7
2020-08-31,Süd,18.8
2020-09-01,Nord,14.3
2020-09-01,Süd,7.8
2020-09-02,Nord,11.7
2020-09-02,Süd,7.9
2020-09-03,Nord,21.6
2020-09-03,Süd,12.5
2020-09-04,Nord,17.9
2020-09-04,Süd,11.7
2020-09-05,Nord,22.7
2020-09-05,Süd,15.6
2020-09-06,Nord,20.2
2020-09-06,Süd,12.8
2020-09-07,Nord,15.1
2020-09-07,Süd,8.4
2020-09-08,Nord,24.1
2020-09-08,Süd,7.1
2020-09-09,Nord,27.4
2020-09-09,Süd,9.5
2020-09-10,Nord,14.9
2020-09-10,Süd,9.8
2020-09-11,Nord,12.9
2020-09-11,Süd,9.5
2020-09-12,Nord,26.5
2020-09-12,Süd,6.8
2020-09-13,Nord,22.6
2020-09-13,Süd,10.8
2020-09-14,Nord,8.9
2020-09-14,Süd,11.4
2020-09-15,Nord,9.5
2020-09-15,Süd,8.6
2020-09-16,Nord,23.7
2020-09-16,Süd,11.0
2020-09-17,Nord,14.0
2020-09-17,Süd,14.0
2020-09-18,Nord,10.6
2020-09-18,Süd,17.4
2020-09-19,Nord,14.4
2020-09-19,Süd,9.1
2020-09-20,Nord,12.5
2020-09-20,Süd,8.9
2020-09-21,Nord,10.5
2020-09-21,Süd,7.7
2020-09-22,Nord,9.6
2020-09-22,Süd,11.2
2020-09-23,Nord,15.3
2020-09-23,Süd,14.4
