species,lat,lon,date,locId,locName,area_type
Common Wood-Pigeon,54.41778,10.370848,2026-02-06 15:52,L58120877,"An den Salzwiesen 1, Schönberg (Holstein) DE-Schleswig-Holstein",urban
Mallard,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Great Cormorant,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Common Buzzard,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Eurasian Magpie,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Marsh Tit,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Eurasian Blue Tit,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Eurasian Wren,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Eurasian Blackbird,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Fieldfare,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
European Robin,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
House Sparrow,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
European Goldfinch,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Yellowhammer,53.8709239,10.506087,2026-02-06 15:38,L54956064,Struckteich,rural
Gadwall,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Northern Pintail,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Green-winged Teal,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Common Pochard,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Tufted Duck,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Greater Scaup,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Common Goldeneye,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Common Merganser,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Eurasian Coot,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Dunlin,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Purple Sandpiper,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Black-headed Gull,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
European Herring Gull,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Great Black-backed Gull,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Little Grebe,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Rook,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Carrion Crow,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
Hooded Crow,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
White Wagtail,53.9618209,10.8853238,2026-02-06 15:15,L13435923,"Strand und Nordermole, Travemünde",rural
