date,region,wind_speed,species,count,obs_freq
2020-04-29,Süd,,Mallard,14,1
2020-04-29,Süd,,Eurasian Wigeon,2,1
2020-04-29,Süd,,Tufted Duck,8,1
2020-04-30,Nord,,Mallard,1,1
2020-04-30,Süd,,Mallard,1,1
2020-04-30,Süd,,Tufted Duck,1,1
2020-05-01,Nord,,Mallard,5,1
2020-05-01,Süd,,Mallard,14,1
2020-05-01,Süd,,Eurasian Wigeon,2,1
2020-05-01,Süd,,Tufted Duck,4,1
2020-05-02,Nord,,Mallard,1,1
2020-05-02,Nord,,Eurasian Wigeon,2,1
2020-05-02,Nord,,Tufted Duck,1,1
2020-05-02,Süd,,Mallard,2,1
2020-05-02,Süd,,Eurasian Wigeon,2,1
2020-05-02,Süd,,Tufted Duck,1,1
2020-05-03,Nord,,Mallard,1,1
2020-05-03,Nord,,Tufted Duck,3,1
2020-05-03,Süd,,Mallard,8,1
2020-05-03,Süd,,Eurasian Wigeon,2,1
2020-05-03,Süd,,Tufted Duck,5,1
2020-05-04,Süd,,Mallard,1,1
2020-05-04,Süd,,Eurasian Wigeon,2,1
2020-05-04,Süd,,Tufted Duck,6,1
2020-05-05,Süd,,Mallard,1,1
2020-05-05,Süd,,Tufted Duck,6,1
2020-05-06,Süd,,Mallard,4,1
2020-05-06,Süd,,Tufted Duck,1,1
2020-05-07,Süd,,Mallard,1,1
2020-05-07,Süd,,Eurasian Wigeon,2,1
2020-05-07,Süd,,Tufted Duck,5,1
2020-05-08,Süd,,Mallard,2,1
2020-05-08,Süd,,Eurasian Wigeon,1,1
2020-05-08,Süd,,Tufted Duck,50,1
2020-05-09,Nord,,Mallard,11,1
2020-05-09,Nord,,Tufted Duck,4,1
2020-05-09,Süd,,Mallard,1,1
2020-05-09,Süd,,Eurasian Wigeon,2,1
2020-05-09,Süd,,Tufted Duck,8,1
2020-05-10,Süd,,Mallard,1,1
2020-05-10,Süd,,Tufted Duck,1,1
2020-05-11,Süd,,Mallard,2,1
2020-05-11,Süd,,Tufted Duck,3,1
2020-05-12,Süd,,Mallard,5,1
2020-05-12,Süd,,Eurasian Wigeon,1,1
2020-05-12,Süd,,Tufted Duck,1,1
2020-05-13,Nord,,Mallard,4,1
2020-05-13,Nord,,Tufted Duck,7,1
2020-05-13,Süd,,Mallard,1,1
2020-05-13,Süd,,Tufted Duck,20,1
2020-05-14,Nord,,Tufted Duck,9,1
2020-05-14,Süd,,Mallard,1,1
2020-05-14,Süd,,Tufted Duck,1,1
2020-05-15,Süd,,Mallard,10,1
2020-05-15,Süd,,Eurasian Wigeon,2,1
2020-05-15,Süd,,Tufted Duck,5,1
2020-05-16,Nord,,Mallard,2,1
2020-05-16,Süd,,Mallard,8,1
2020-05-16,Süd,,Eurasian Wigeon,1,1
2020-05-16,Süd,,Tufted Duck,3,1
2020-05-17,Nord,,Mallard,10,1
2020-05-17,Nord,,Tufted Duck,14,1
2020-05-17,Süd,,Mallard,3,1
2020-05-17,Süd,,Eurasian Wigeon,3,1
2020-05-17,Süd,,Tufted Duck,7,1
2020-05-18,Süd,,Mallard,1,1
2020-05-18,Süd,,Tufted Duck,1,1
2020-05-19,Süd,,Mallard,5,1
2020-05-19,Süd,,Tufted Duck,14,1
2020-05-20,Nord,,Mallard,2,1
2020-05-20,Nord,,Tufted Duck,1,1
