Date,Region,Species,Count
2023/09/28,DE-NI,Common Crane,2
2023/09/29,DE-NI,Common Crane,2
2023/10/01,DE-NI,Common Crane,55
2023/10/02,DE-NI,Common Crane,15
2023/10/03,DE-NI,Common Crane,29
2023/10/04,DE-NI,Common Crane,1
2023/10/06,DE-NI,Common Crane,2
2023/10/08,DE-NI,Common Crane,16
2023/10/13,DE-NI,Common Crane,10740
2023/10/14,DE-NI,Common Crane,0
2023/10/15,DE-NI,Common Crane,4
2023/10/16,DE-NI,Common Crane,48
2023/10/17,DE-NI,Common Crane,18
2023/10/18,DE-NI,Common Crane,250
2023/10/19,DE-NI,Common Crane,0
2023/10/21,DE-NI,Common Crane,57
2023/10/22,DE-NI,Common Crane,0
2023/10/23,DE-NI,Common Crane,24
2023/10/24,DE-NI,Common Crane,63
2023/10/25,DE-NI,Common Crane,500
2023/10/26,DE-NI,Common Crane,0
2023/10/27,DE-NI,Common Crane,929
2023/10/28,DE-NI,Common Crane,4
2023/10/29,DE-NI,Common Crane,1
2023/10/30,DE-NI,Common Crane,5
2023/10/31,DE-NI,Common Crane,2
2023/11/01,DE-NI,Common Crane,10
2023/11/02,DE-NI,Common Crane,20
2023/11/03,DE-NI,Common Crane,40
2023/11/04,DE-NI,Common Crane,100
2023/11/05,DE-NI,Common Crane,20
2023/11/06,DE-NI,Common Crane,1
2023/11/08,DE-NI,Common Crane,2
2023/11/09,DE-NI,Common Crane,4
2023/11/12,DE-NI,Common Crane,10
2023/11/13,DE-NI,Common Crane,120
2023/11/14,DE-NI,Common Crane,15
2023/11/15,DE-NI,Common Crane,200
2023/11/16,DE-NI,Common Crane,12
2023/11/17,DE-NI,Common Crane,0
2023/11/19,DE-NI,Common Crane,21
2023/11/21,DE-NI,Common Crane,50
2023/11/23,DE-NI,Common Crane,4
2023/11/24,DE-NI,Common Crane,1
2023/11/26,DE-NI,Common Crane,12
2023/11/27,DE-NI,Common Crane,5
2023/11/28,DE-NI,Common Crane,150
2023/11/30,DE-NI,Common Crane,2
2023/12/01,DE-NI,Common Crane,0
2023/12/02,DE-NI,Common Crane,20
2023/12/03,DE-NI,Common Crane,30
2023/12/07,DE-NI,Common Crane,34
2023/12/09,DE-NI,Common Crane,20
2023/12/10,DE-NI,Common Crane,4
2023/12/12,DE-NI,Common Crane,80
2023/12/15,DE-NI,Common Crane,2
2023/12/16,DE-NI,Common Crane,10
2023/12/17,DE-NI,Common Crane,40
2023/12/18,DE-NI,Common Crane,4
2023/12/22,DE-NI,Common Crane,20
