date,pm2_5_mean,no2_mean,error
2024-04-23,8.684,35.356,
2024-04-24,11.6472,37.9992,
2024-04-25,8.732800000000001,32.467200000000005,
2024-04-26,9.0944,38.72760000000001,
2024-04-27,7.9172,18.4492,
2024-04-28,5.540400000000001,11.655999999999999,
2024-04-29,7.7799999999999985,24.042800000000007,
2024-04-30,11.477600000000002,11.298000000000002,
2024-05-01,8.074,5.8536,
2024-05-02,4.858799999999999,5.756,
2024-05-03,3.2296000000000005,12.526800000000001,
2024-05-04,4.4444,21.372000000000003,
2024-05-05,2.7887999999999993,7.937199999999998,
2024-05-06,2.1608,7.023999999999997,
2024-05-07,3.0359999999999996,9.1592,
2024-05-08,4.326400000000001,7.656799999999999,
2024-05-09,9.243200000000002,29.633999999999997,
2024-05-10,6.4916,28.847600000000003,
2024-05-11,4.978,11.994799999999996,
2024-05-12,2.9224,4.714800000000001,
2024-05-13,6.4479999999999995,6.138400000000001,
2024-05-14,6.8016,5.8852,
2024-05-15,4.332400000000001,4.816000000000002,
2024-05-16,4.492800000000001,5.134799999999999,
2024-05-17,3.9915999999999996,7.1196,
2024-05-18,3.6515999999999997,11.185599999999999,
2024-05-19,6.626,22.5312,
2024-05-20,5.657999999999999,15.2204,
2024-05-21,4.1484000000000005,4.814,
2024-05-22,6.04,9.8876,
2024-05-23,4.4876,15.341600000000001,
2024-05-24,3.588399999999999,8.5748,
2024-05-25,5.7224,16.1444,
2024-05-26,5.7639999999999985,13.7104,
2024-05-27,7.4872000000000005,25.2188,
2024-05-28,6.8740000000000006,24.5596,
2024-05-29,4.1415999999999995,19.358400000000003,
2024-05-30,2.9328000000000003,16.508799999999997,
2024-05-31,5.3656000000000015,17.8596,
2024-06-01,4.945200000000001,3.5468,
2024-06-02,5.267600000000001,3.7144000000000013,
2024-06-03,3.2452000000000005,5.352800000000001,
2024-06-04,3.4075999999999995,12.5064,
2024-06-05,3.6216000000000004,11.6,
2024-06-06,2.5952,14.1556,
2024-06-07,4.214799999999999,16.9792,
2024-06-08,5.6844,11.000400000000003,
2024-06-09,1.7087999999999999,5.628399999999999,
2024-06-10,2.7303999999999995,15.934800000000001,
2024-06-11,1.0972,5.516799999999998,
2024-06-12,0.9052000000000002,6.2272,
2024-06-13,1.764,13.347999999999997,
2024-06-14,3.1496,12.6656,
2024-06-15,2.9324,12.3792,
2024-06-16,3.665200000000001,17.809199999999997,
2024-06-17,2.9895999999999994,19.049200000000003,
2024-06-18,2.8283999999999994,14.3916,
2024-06-19,3.1927999999999996,9.864000000000003,
2024-06-20,4.912,11.116800000000001,
2024-06-21,8.380799999999999,15.114799999999997,
