Date,Region,Max_Temp
2022-04-27,Nord,13.6
2022-04-27,Süd,12.0
2022-04-28,Nord,15.4
2022-04-28,Süd,15.4
2022-04-29,Nord,14.2
2022-04-29,Süd,17.2
2022-04-30,Nord,13.8
2022-04-30,Süd,12.6
2023-03-01,Nord,6.9
2023-03-01,Süd,6.0
2023-03-02,Nord,5.1
2023-03-02,Süd,9.9
2023-03-03,Nord,5.9
2023-03-03,Süd,8.1
2023-03-04,Nord,5.7
2023-03-04,Süd,6.4
2023-03-05,Nord,4.4
2023-03-05,Süd,3.8
2023-03-06,Nord,4.8
2023-03-06,Süd,4.1
2023-03-07,Nord,5.2
2023-03-07,Süd,7.3
2023-03-08,Nord,4.1
2023-03-08,Süd,10.6
2023-03-09,Nord,3.7
2023-03-09,Süd,12.6
2023-03-10,Nord,1.9
2023-03-10,Süd,12.4
2023-03-11,Nord,5.6
2023-03-11,Süd,4.0
2023-03-12,Nord,6.9
2023-03-12,Süd,8.2
2023-03-13,Nord,15.8
2023-03-13,Süd,17.3
2023-03-14,Nord,10.0
2023-03-14,Süd,10.9
2023-03-15,Nord,5.8
2023-03-15,Süd,6.2
2023-03-16,Nord,8.8
2023-03-16,Süd,9.1
2023-03-17,Nord,15.6
2023-03-17,Süd,16.0
2023-03-18,Nord,15.6
2023-03-18,Süd,16.6
2023-03-19,Nord,15.1
2023-03-19,Süd,13.1
2023-03-20,Nord,10.4
2023-03-20,Süd,12.2
2023-03-21,Nord,11.1
2023-03-21,Süd,14.1
2023-03-22,Nord,13.8
2023-03-22,Süd,18.0
2023-03-23,Nord,14.3
2023-03-23,Süd,17.5
2023-03-24,Nord,14.2
2023-03-24,Süd,14.2
2023-03-25,Nord,9.9
2023-03-25,Süd,11.4
2023-03-26,Nord,9.8
2023-03-26,Süd,10.3
2023-03-27,Nord,6.4
2023-03-27,Süd,5.1
2023-03-28,Nord,7.6
2023-03-28,Süd,6.2
2023-03-29,Nord,10.8
2023-03-29,Süd,13.8
2023-03-30,Nord,15.1
2023-03-30,Süd,13.6
2023-03-31,Nord,12.3
2023-03-31,Süd,14.1
2023-04-01,Nord,8.9
2023-04-01,Süd,10.9
2023-04-02,Nord,7.5
2023-04-02,Süd,9.6
2023-04-03,Nord,6.9
2023-04-03,Süd,4.3
2023-04-04,Nord,6.9
2023-04-04,Süd,3.8
2023-04-05,Nord,8.6
2023-04-05,Süd,6.0
2023-04-06,Nord,12.1
2023-04-06,Süd,9.2
2023-04-07,Nord,10.8
2023-04-07,Süd,9.8
2023-04-08,Nord,10.8
2023-04-08,Süd,5.4
2023-04-09,Nord,12.1
2023-04-09,Süd,9.3
2023-04-10,Nord,16.9
2023-04-10,Süd,12.9
2023-04-11,Nord,10.4
2023-04-11,Süd,10.6
2023-04-12,Nord,10.1
2023-04-12,Süd,12.9
2023-04-13,Nord,12.0
2023-04-13,Süd,8.4
2023-04-14,Nord,12.4
2023-04-14,Süd,8.4
2023-04-15,Nord,13.1
2023-04-15,Süd,9.8
2023-04-16,Nord,11.1
2023-04-16,Süd,8.6
2023-04-17,Nord,13.6
2023-04-17,Süd,11.6
2023-04-18,Nord,11.0
2023-04-18,Süd,10.9
2023-04-19,Nord,11.9
2023-04-19,Süd,9.4
2023-04-20,Nord,11.9
2023-04-20,Süd,9.1
2023-04-21,Nord,19.1
2023-04-21,Süd,16.8
2023-04-22,Nord,21.1
2023-04-22,Süd,20.5
2023-04-23,Nord,17.8
2023-04-23,Süd,16.7
2023-04-24,Nord,13.4
2023-04-24,Süd,12.6
2023-04-25,Nord,9.2
2023-04-25,Süd,10.1
2023-04-26,Nord,9.2
2023-04-26,Süd,10.4
2023-04-27,Nord,10.1
2023-04-27,Süd,13.8
2023-04-28,Nord,15.1
2023-04-28,Süd,13.4
