date,status,observation_count,sum_howMany_birds,pm2_5_mean,no2_mean,diff_howMany,diff_pm2_5_mean,diff_no2_mean
2024-12-30,200,19,53.0,13.884800000000002,20.3928,-258.0,-22.253199999999996,-24.586799999999997
2024-12-31,200,45,220.0,16.4748,24.08,167.0,2.5899999999999963,3.687199999999997
2025-01-01,200,43,131.0,4.6732,10.580399999999996,-89.0,-11.801599999999999,-13.499600000000003
2025-01-02,200,53,314.0,1.3296,9.182,183.0,-3.3435999999999995,-1.3983999999999952
2025-01-03,200,20,67.0,1.5252,8.276,-247.0,0.1956,-0.9060000000000006
2025-01-04,200,47,593.0,6.211199999999999,18.9348,526.0,4.685999999999999,10.6588
2025-01-05,200,59,336.0,10.6604,24.759599999999995,-257.0,4.4492,5.824799999999996
2025-01-06,200,29,370.0,1.8835999999999995,15.9016,34.0,-8.7768,-8.857999999999995
2025-01-07,200,35,176.0,1.1855999999999998,13.195600000000002,-194.0,-0.6979999999999997,-2.7059999999999977
2025-01-08,200,36,188.0,3.3136,22.397600000000008,12.0,2.128,9.202000000000005
2025-01-09,200,7,19.0,8.8268,28.7236,-169.0,5.5132,6.325999999999993
2025-01-10,200,22,369.0,4.909199999999999,15.5464,350.0,-3.917600000000001,-13.177200000000001
2025-01-11,200,42,805.0,0.9536,5.400000000000001,436.0,-3.9555999999999996,-10.1464
2025-01-12,200,60,540.0,2.7288,17.040799999999997,-265.0,1.7752000000000001,11.640799999999995
2025-01-13,200,43,257.0,16.8652,50.81880000000001,-283.0,14.136400000000002,33.77800000000001
2025-01-14,200,27,308.0,12.345199999999998,28.048399999999997,51.0,-4.520000000000003,-22.770400000000013
2025-01-15,200,13,89.0,11.0636,29.084,-219.0,-1.2815999999999992,1.0356000000000023
2025-01-16,200,54,260.0,10.5304,35.726000000000006,171.0,-0.533199999999999,6.642000000000007
2025-01-17,200,45,276.0,20.24,49.8472,16.0,9.709599999999998,14.121199999999995
2025-01-18,200,54,397.0,33.9748,43.92400000000001,121.0,13.734800000000003,-5.923199999999994
2025-01-19,200,58,187.0,36.7536,32.7924,-210.0,2.778799999999997,-11.131600000000006
2025-01-20,200,34,232.0,28.674399999999995,46.6928,45.0,-8.079200000000004,13.900399999999998
2025-01-21,200,35,373.0,55.44,66.4748,141.0,26.765600000000003,19.782000000000004
2025-01-22,200,26,98.0,43.63040000000001,43.232000000000006,-275.0,-11.809599999999989,-23.242799999999995
2025-01-23,200,7,38.0,11.999999999999996,24.538,-60.0,-31.630400000000012,-18.694000000000006
2025-01-24,200,43,342.0,3.9916,22.2092,304.0,-8.008399999999996,-2.328800000000001
2025-01-25,200,32,168.0,7.1556,30.153600000000004,-174.0,3.1639999999999997,7.944400000000005
2025-01-26,200,41,122.0,7.0152,27.13359999999999,-46.0,-0.14039999999999964,-3.020000000000014
2025-01-27,200,26,389.0,2.3244,17.827600000000004,267.0,-4.6908,-9.305999999999987
2025-01-28,200,39,216.0,9.7072,44.7668,-173.0,7.3828000000000005,26.9392
2025-01-29,200,33,64.0,3.024,20.858400000000003,-152.0,-6.6832,-23.9084
2025-01-30,200,34,233.0,6.619199999999998,35.8704,169.0,3.5951999999999984,15.011999999999993
2025-01-31,200,48,308.0,3.8516,11.5844,75.0,-2.7675999999999985,-24.285999999999994
2025-02-01,200,73,453.0,16.528,35.5384,145.0,12.6764,23.954
2025-02-02,200,50,444.0,12.026799999999998,30.358,-9.0,-4.501200000000001,-5.180400000000002
2025-02-03,200,49,275.0,47.11160000000001,69.69760000000001,-169.0,35.084800000000016,39.339600000000004
2025-02-04,200,36,169.0,51.81399999999999,66.13200000000002,-106.0,4.702399999999983,-3.5655999999999892
2025-02-05,200,21,101.0,33.36319999999999,40.537600000000005,-68.0,-18.4508,-25.594400000000014
2025-02-06,200,32,72.0,17.511200000000002,27.4996,-29.0,-15.85199999999999,-13.038000000000004
2025-02-07,200,50,590.0,8.486800000000002,13.780799999999996,518.0,-9.0244,-13.718800000000005
2025-02-08,200,39,128.0,17.430400000000002,16.618399999999998,-462.0,8.9436,2.837600000000002
2025-02-09,200,68,298.0,18.5352,19.7812,170.0,1.1047999999999973,3.1628000000000007
2025-02-10,200,22,58.0,19.0124,18.342800000000004,-240.0,0.47719999999999985,-1.4383999999999943
2025-02-11,200,47,238.0,15.1172,16.477600000000006,180.0,-3.895199999999999,-1.865199999999998
2025-02-12,200,43,297.0,20.0652,20.742800000000003,59.0,4.948,4.2651999999999965
2025-02-13,200,12,2487.0,23.848000000000003,28.5904,2190.0,3.7828000000000017,7.847599999999996
2025-02-14,200,48,237.0,8.868,23.9528,-2250.0,-14.980000000000002,-4.637599999999999
2025-02-15,200,63,971.0,22.189599999999995,60.69,734.0,13.321599999999995,36.7372
2025-02-16,200,60,823.0,13.390000000000002,42.01800000000001,-148.0,-8.799599999999993,-18.67199999999999
2025-02-17,200,48,886.0,43.912000000000006,71.8492,63.0,30.522000000000006,29.83119999999999
2025-02-18,200,54,823.0,37.86000000000001,69.3828,-63.0,-6.052,-2.466399999999993
2025-02-19,200,51,743.0,52.72840000000001,83.81720000000001,-80.0,14.868400000000001,14.43440000000001
2025-02-20,200,53,253.0,26.7132,27.8088,-490.0,-26.015200000000007,-56.00840000000001
2025-02-21,200,40,346.0,49.62880000000001,46.51559999999999,93.0,22.915600000000012,18.70679999999999
2025-02-22,200,55,185.0,26.796800000000005,25.19,-161.0,-22.832000000000008,-21.32559999999999
2025-02-23,200,76,482.0,18.3488,33.0932,297.0,-8.448000000000004,7.903200000000002
2025-02-24,200,47,451.0,13.210000000000004,33.07919999999999,-31.0,-5.138799999999996,-0.014000000000010004
2025-02-25,200,15,33.0,24.280000000000005,46.542,-418.0,11.07,13.462800000000009
2025-02-26,200,35,243.0,25.654,37.78280000000001,210.0,1.3739999999999952,-8.759199999999993
2025-02-27,200,42,559.0,14.345999999999998,38.9336,316.0,-11.308000000000002,1.1507999999999896
2025-02-28,200,25,78.0,12.6044,27.1748,-481.0,-1.7415999999999983,-11.758799999999997
2025-03-01,200,48,185.0,11.3892,15.9848,107.0,-1.2151999999999994,-11.190000000000001
2025-03-02,200,53,175.0,12.799200000000004,14.346799999999998,-10.0,1.4100000000000037,-1.6380000000000017
2025-03-03,200,27,116.0,15.211200000000002,18.3868,-59.0,2.4119999999999973,4.040000000000003
2025-03-04,200,57,184.0,36.04,28.926399999999997,68.0,20.828799999999998,10.539599999999997
2025-03-05,200,48,160.0,44.56,24.68,-24.0,8.520000000000003,-4.246399999999998
2025-03-07,200,71,283.0,70.04541666666667,76.71416666666667,123.0,25.485416666666666,52.03416666666667
2025-03-08,200,63,217.0,55.3732,25.180000000000003,-66.0,-14.672216666666671,-51.534166666666664
2025-03-09,200,79,558.0,79.62159999999999,35.087999999999994,341.0,24.24839999999999,9.90799999999999
2025-03-10,200,55,199.0,86.9224,38.4884,-359.0,7.3008000000000095,3.4004000000000048
2025-03-11,200,28,87.0,89.4992,54.9596,-112.0,2.5768000000000058,16.471200000000003
2025-03-12,200,57,146.0,28.634,37.89160000000001,59.0,-60.8652,-17.06799999999999
2025-03-13,200,37,280.0,8.54,31.4388,134.0,-20.094,-6.4528000000000105
2025-03-14,200,56,132.0,10.6796,26.3496,-148.0,2.1396000000000015,-5.089200000000002
2025-03-15,200,63,170.0,11.374000000000002,15.226400000000002,38.0,0.6944000000000017,-11.123199999999997
2025-03-16,200,79,316.0,10.756000000000002,13.731999999999998,146.0,-0.6180000000000003,-1.4944000000000042
2025-03-17,200,44,149.0,4.3624,21.3616,-167.0,-6.393600000000002,7.629600000000002
2025-03-18,200,40,187.0,23.400400000000005,77.32560000000001,38.0,19.038000000000004,55.96400000000001
2025-03-19,200,60,363.0,34.4896,77.11359999999999,176.0,11.089199999999998,-0.2120000000000175
2025-03-20,200,56,167.0,41.54280000000001,73.4532,-196.0,7.053200000000004,-3.6603999999999957
2025-03-21,200,64,262.0,33.842800000000004,38.70439999999999,95.0,-7.700000000000003,-34.7488
2025-03-22,200,86,325.0,30.402,6.247600000000001,63.0,-3.440800000000003,-32.456799999999994
2025-03-23,200,74,633.0,20.0612,10.303999999999998,308.0,-10.340800000000002,4.056399999999997
2025-03-24,200,55,238.0,33.0724,56.2404,-395.0,13.011200000000002,45.936400000000006
2025-03-25,200,38,72.0,32.40679999999999,42.4436,-166.0,-0.665600000000012,-13.796799999999998
2025-03-26,200,42,137.0,14.24,13.71,65.0,-18.166799999999988,-28.733600000000003
2025-03-27,200,19,48.0,17.637500000000003,47.38208333333333,-89.0,3.3975000000000026,33.672083333333326
2025-03-28,200,53,86.0,25.201999999999995,45.30239999999999,38.0,7.564499999999992,-2.0796833333333353
2025-03-29,200,80,295.0,20.913200000000003,15.812,209.0,-4.288799999999991,-29.490399999999994
2025-03-30,200,84,253.0,3.47,9.42,-42.0,-17.443200000000004,-6.3919999999999995
2025-04-04,200,54,133.0,20.79458333333333,15.635416666666666,-120.0,17.32458333333333,6.215416666666666
2025-04-05,200,96,264.0,3.47,9.42,131.0,-17.32458333333333,-6.215416666666666
2025-04-06,200,55,118.0,1.2820833333333332,3.750833333333334,-146.0,-2.187916666666667,-5.669166666666666
2025-04-07,200,50,95.0,3.789200000000001,7.484000000000001,-23.0,2.5071166666666675,3.733166666666667
2025-04-08,200,44,119.0,7.286399999999999,10.8832,24.0,3.4971999999999976,3.3991999999999996
2025-04-09,200,49,105.0,10.736399999999998,9.7552,-14.0,3.4499999999999993,-1.1280000000000001
2025-04-10,200,46,120.0,4.365199999999999,4.4252,15.0,-6.371199999999999,-5.33
2025-04-11,200,42,131.0,7.3744,3.979199999999999,11.0,3.0092000000000008,-0.44600000000000106
2025-04-12,200,59,140.0,9.9872,4.457599999999999,9.0,2.6128,0.47840000000000016
2025-04-13,200,85,207.0,5.2964,4.198799999999999,67.0,-4.690799999999999,-0.2587999999999999
2025-04-14,200,56,150.0,1.9572,5.786399999999999,-57.0,-3.3392,1.5875999999999992
2025-04-15,200,38,62.0,3.9691999999999994,4.5656,-88.0,2.0119999999999996,-1.2207999999999988
2025-04-16,200,74,144.0,5.8564000000000025,4.4152,82.0,1.887200000000003,-0.1504000000000003
2025-04-17,200,74,148.0,8.5136,5.333200000000001,4.0,2.657199999999998,0.918000000000001
