Date,PM2.5,PM10
2021-02-16,12.945,14.5175
2021-02-17,7.379583333333334,8.6675
2021-02-18,7.870416666666667,9.262916666666667
2021-02-19,7.78375,9.52625
2021-02-20,10.890833333333333,12.655000000000001
2021-02-21,15.607083333333334,17.889166666666664
2021-02-22,26.646666666666665,29.21166666666667
2021-02-23,27.368750000000002,31.670833333333334
2021-02-24,9.79875,12.332916666666668
2021-02-25,28.479583333333334,43.43
2021-02-26,7.968333333333334,10.470833333333333
2021-02-27,3.55875,6.4325
2021-02-28,10.366249999999999,12.275416666666667
2021-03-01,6.10625,8.839583333333334
2021-03-02,24.71083333333333,27.869583333333335
2021-03-03,38.880833333333335,44.251666666666665
2021-03-04,11.514583333333334,13.557916666666666
2021-03-05,5.09625,6.65125
2021-03-06,4.958333333333333,7.435
2021-03-07,5.337083333333333,7.102916666666666
2021-03-08,6.927083333333333,8.897499999999999
2021-03-09,8.876666666666667,10.25625
2021-03-10,11.682916666666666,13.516666666666666
2021-03-11,3.2541666666666664,3.469583333333333
2021-03-12,1.3766666666666667,1.7437500000000001
2021-03-13,1.3704166666666666,1.6054166666666667
2021-03-14,2.3337499999999998,2.7595833333333335
2021-03-15,2.59125,3.467916666666667
2021-03-16,2.1879166666666667,4.562916666666667
2021-03-17,4.284583333333333,6.279583333333334
2021-03-18,10.798333333333334,12.414583333333333
2021-03-19,4.906666666666667,5.91125
2021-03-20,3.8000000000000003,5.821666666666666
2021-03-21,1.9775,5.141666666666667
2021-03-22,1.8679166666666667,5.190833333333333
2021-03-23,11.368333333333332,14.686250000000001
2021-03-24,37.30083333333334,41.57541666666666
2021-03-25,48.67791666666667,54.37416666666667
2021-03-26,18.699166666666667,20.75166666666667
2021-03-27,3.6962499999999996,4.2091666666666665
2021-03-28,6.557826086956522,8.134782608695652
2021-03-29,14.182083333333333,17.256666666666664
2021-03-30,32.31375,36.7325
2021-03-31,29.406666666666666,34.543749999999996
2022-01-01,4.720416666666667,6.920000000000001
2022-01-02,3.6641666666666666,4.140833333333333
2022-01-03,2.0479166666666666,2.6841666666666666
2022-01-04,3.297916666666667,3.9491666666666667
2022-01-05,1.9604166666666665,3.2716666666666665
2022-01-06,3.8791666666666664,6.7825
2022-01-07,4.2675,5.445
2022-01-08,6.9925,8.00375
2022-01-09,0.9320833333333334,1.2220833333333332
2022-01-10,8.520416666666668,10.822083333333333
2022-01-11,22.81458333333333,26.21375
2022-01-12,13.90125,15.762916666666667
2022-01-13,17.092916666666667,19.952916666666667
2022-01-14,13.191249999999998,17.97125
2022-01-15,8.515833333333333,11.89
2022-01-16,11.449166666666665,12.73625
2022-01-17,1.9754166666666668,6.626666666666666
2022-01-18,2.841666666666667,7.3825
2022-01-19,7.826666666666667,9.62625
2022-01-20,1.1300000000000001,2.558333333333333
2022-01-21,1.1320833333333333,2.51625
2022-01-22,2.3491666666666666,3.6595833333333334
2022-01-23,2.0549999999999997,3.81
2022-01-24,16.00136363636364,18.115
2022-01-25,16.798333333333332,18.195416666666667
2022-01-26,20.130416666666665,21.817083333333333
2022-01-27,9.349583333333333,10.37125
2022-01-28,1.7779166666666668,6.235833333333333
2022-01-29,5.872083333333333,7.355
2022-01-30,1.8333333333333333,8.450833333333334
2022-01-31,4.097083333333333,5.733750000000001
2022-02-01,2.7525,3.4416666666666664
2022-02-02,1.6295833333333334,4.066666666666666
2022-02-03,8.689583333333333,10.172083333333333
2022-02-04,8.6375,9.91625
2022-02-05,3.81,4.72125
2022-02-06,0.7079166666666666,0.82125
2022-02-07,1.2766666666666666,2.72125
2022-02-08,6.76125,8.759166666666667
2022-02-09,8.225833333333332,9.883750000000001
2022-02-10,17.118750000000002,18.900833333333335
2022-02-11,5.865833333333334,7.235416666666667
2022-02-12,5.21625,7.763750000000001
2022-02-13,13.774166666666666,15.064583333333333
2022-02-14,7.242916666666666,8.150833333333333
2022-02-15,6.05375,7.2625
2022-02-16,1.2216666666666667,1.4229166666666666
2022-02-17,0.8683333333333333,1.97375
2022-02-18,3.5366666666666666,4.462083333333333
2022-02-19,0.8866666666666667,1.4766666666666666
2022-02-20,0.915,1.05
2022-02-21,0.6963636363636364,1.1618181818181819
2022-02-22,2.68125,5.402916666666666
2022-02-23,4.9504166666666665,7.754583333333334
2022-02-24,5.296666666666667,6.59875
2022-02-25,2.763333333333333,4.02625
2022-02-26,2.1679166666666667,5.485833333333333
