,Date,Region,Total_Amount,PM2.5_mean,PM2.5_var,PM2.5_min,PM2.5_max,PM10_mean,PM10_var,PM10_min,PM10_max
1060,2023-12-01,DE-HH,40,20.719166666666663,27.7011036231884,11.65,34.58,23.121666666666663,28.092240579710136,13.75,37.8
1061,2023-12-02,DE-HH,117,7.294583333333333,10.951643297101455,3.48,17.52,8.5775,15.696228260869574,4.06,20.87
1062,2023-12-03,DE-HH,101,14.70125,22.756507065217384,7.52,24.69,16.21875,24.445385326086967,8.86,26.59
1063,2023-12-04,DE-HH,53,9.480833333333331,4.385190579710146,6.98,16.2,10.394166666666669,5.848181884057977,7.9,18.14
1064,2023-12-05,DE-HH,28,9.745833333333334,3.47088623188406,6.04,12.55,10.232916666666666,3.23438677536232,6.63,12.94
1065,2023-12-06,DE-HH,0,27.59625,264.32678967391314,11.99,65.68,29.964583333333334,303.5910346014492,12.63,69.82
1066,2023-12-07,DE-HH,235,29.148750000000003,108.33500271739123,13.57,60.22,31.51458333333333,120.94999981884057,14.79,63.95
1067,2023-12-08,DE-HH,0,15.10375,3.1136853260869573,12.18,18.12,16.12666666666667,3.172936231884056,13.27,19.37
1068,2023-12-09,DE-HH,161,10.971666666666666,21.251640579710145,4.65,17.59,11.860833333333332,24.259512318840585,4.77,18.82
1069,2023-12-10,DE-HH,71,1.6025,0.3469760869565219,0.91,3.69,1.9983333333333333,0.2858927536231884,1.24,3.78
1070,2023-12-11,DE-HH,0,2.8495833333333334,1.108351992753623,1.44,5.15,3.520416666666667,1.859195471014493,1.62,5.9
1071,2023-12-12,DE-HH,46,10.024583333333334,21.38229547101449,2.34,18.35,11.32,24.82776521739129,3.2,20.24
1072,2023-12-13,DE-HH,38,5.238333333333333,8.634823188405793,2.01,10.55,5.58625,9.47647663043478,2.35,11.51
1073,2023-12-14,DE-HH,47,7.768333333333333,127.92070144927536,0.56,35.85,8.852500000000001,158.42286304347826,0.78,39.88
1074,2023-12-15,DE-HH,254,6.255416666666666,7.660165036231891,2.77,10.17,8.455,3.854243478260869,5.95,12.19
1075,2023-12-16,DE-HH,231,7.521249999999999,8.986933152173913,2.4,12.75,12.42125,21.18995923913043,3.77,19.65
1076,2023-12-17,DE-HH,52,3.719583333333333,4.5185259057971,1.9,10.19,5.537083333333334,6.209351992753628,3.04,12.86
1077,2023-12-18,DE-HH,0,11.934583333333334,12.454234601449272,5.68,15.96,14.750833333333333,22.80948623188406,6.27,19.58
1078,2023-12-19,DE-HH,2,7.672083333333333,9.678930253623182,1.6,11.65,8.274583333333334,11.191860688405804,2.58,13.39
